#Scores
#Start	End	Score
11	18	0.146265
11	20	0.158806
11	22	0.118018
11	32	0.160371
11	31	0.12857
11	10	0.108291
11	28	0.117873
11	29	0.117873
11	33	0.163397
11	17	0.319455
11	34	0.164869
11	26	0.106181
11	25	0.106181
11	24	0.0953859
11	15	0.0845822
11	16	0.0845822
11	19	0.0845822
11	21	0.0845822
11	23	0.0845822
11	30	0.0916412
11	27	0.080683
12	13	0.0970136
12	14	0.134353
12	18	0.0936075
12	20	0.106034
12	22	0.0701145
12	32	0.113109
12	31	0.0904656
12	10	0.0713886
12	28	0.0809939
12	29	0.0809939
12	33	0.121146
12	17	0.0827173
12	34	0.127098
12	26	0.0701149
12	25	0.0701149
12	24	0.0666077
12	15	0.0568258
12	16	0.0568258
12	19	0.0568258
12	21	0.0568258
12	23	0.0568258
12	30	0.0641665
12	27	0.0543772
13	14	0.289269
13	18	0.123173
13	20	0.135725
13	22	0.0970136
13	32	0.139859
13	31	0.113199
13	10	0.092336
13	28	0.10196
13	29	0.10196
13	33	0.145191
13	17	0.107926
13	34	0.148693
13	26	0.0906
13	25	0.0906
13	24	0.0830614
13	15	0.0726883
13	16	0.0726883
13	19	0.0726883
13	21	0.0726883
13	23	0.0726883
13	30	0.0798895
13	27	0.0694273
14	18	0.236138
14	20	0.244479
14	22	0.134353
14	32	0.173179
14	31	0.250594
14	10	0.206283
14	28	0.214848
14	29	0.214848
14	33	0.274438
14	17	0.141792
14	26	0.119053
14	25	0.119053
14	24	0.161243
14	15	0.134189
14	16	0.134189
14	19	0.134189
14	21	0.134189
14	23	0.134189
14	30	0.162327
14	27	0.143645
18	20	0.197935
18	22	0.0936075
18	32	0.135454
18	31	0.200289
18	10	0.0897999
18	28	0.0992241
18	29	0.0992241
18	33	0.141142
18	17	0.104478
18	34	0.146291
18	26	0.0881571
18	25	0.0881571
18	24	0.0812365
18	15	0.0711074
18	16	0.0711074
18	19	0.0711074
18	21	0.0711074
18	23	0.0711074
18	30	0.0787898
18	27	0.0684878
20	22	0.106034
20	32	0.157109
20	31	0.208723
20	10	0.113109
20	28	0.140801
20	29	0.136741
20	33	0.19159
20	17	0.115575
20	26	0.104347
20	25	0.104347
20	24	0.146708
20	15	0.119878
20	16	0.119878
20	19	0.119878
20	21	0.119878
20	23	0.119878
20	30	0.147736
20	27	0.12868
22	32	0.113109
22	31	0.0904656
22	10	0.0713886
22	28	0.0809939
22	29	0.0809939
22	33	0.121146
22	17	0.0827173
22	34	0.127098
22	26	0.0701149
22	25	0.0701149
22	24	0.0666077
22	15	0.0568258
22	16	0.0568258
22	19	0.0568258
22	21	0.0568258
22	23	0.0568258
22	30	0.0641665
22	27	0.0543772
32	31	0.176474
32	10	0.14707
32	28	0.182904
32	33	0.241725
32	17	0.121147
32	24	0.191649
32	15	0.156978
32	16	0.156978
32	19	0.156978
32	21	0.156978
32	23	0.156978
32	30	0.193181
32	27	0.170075
31	10	0.12887
31	28	0.159889
31	29	0.155052
31	17	0.0990437
31	26	0.11847
31	25	0.11847
31	24	0.166954
31	15	0.210191
31	16	0.210191
31	19	0.210191
31	21	0.210191
31	23	0.210191
31	30	0.168187
31	27	0.147534
10	28	0.185505
10	29	0.180001
10	33	0.238906
10	17	0.0814148
10	26	0.0945507
10	25	0.0945507
10	24	0.135614
10	15	0.109026
10	16	0.109026
10	19	0.109026
10	21	0.109026
10	23	0.109026
10	30	0.136595
10	27	0.117277
28	29	0.220041
28	33	0.289621
28	17	0.0901524
28	26	0.118549
28	25	0.118549
28	15	0.13901
28	16	0.13901
28	19	0.13901
28	21	0.13901
28	23	0.13901
28	30	0.356058
28	27	0.150986
29	33	0.279654
29	17	0.0901524
29	26	0.292657
29	25	0.292657
29	24	0.166717
29	15	0.134608
29	16	0.134608
29	19	0.134608
29	21	0.134608
29	23	0.134608
29	30	0.168047
29	27	0.145807
33	17	0.127779
33	26	0.165722
33	25	0.165722
33	24	0.23634
33	30	0.238349
33	27	0.212305
17	34	0.132677
17	26	0.0800621
17	25	0.0800621
17	24	0.0750533
17	15	0.0657456
17	16	0.0657456
17	19	0.0657456
17	21	0.0657456
17	23	0.0657456
17	30	0.072454
17	27	0.0630663
34	26	0.391204
34	25	0.391204
26	24	0.123209
26	15	0.0998824
26	16	0.0998824
26	19	0.0998824
26	21	0.0998824
26	23	0.0998824
26	30	0.124018
26	27	0.106764
25	24	0.123209
25	15	0.0998824
25	16	0.0998824
25	19	0.0998824
25	21	0.0998824
25	23	0.0998824
25	30	0.124018
25	27	0.106764
24	15	0.145461
24	16	0.145461
24	19	0.145461
24	21	0.145461
24	23	0.145461
24	27	0.34336
15	16	0.172289
15	19	0.172289
15	21	0.172289
15	23	0.172289
15	30	0.14659
15	27	0.125592
16	19	0.172289
16	21	0.172289
16	23	0.172289
16	30	0.14659
16	27	0.125592
19	21	0.172289
19	23	0.172289
19	30	0.14659
19	27	0.125592
21	23	0.172289
21	30	0.14659
21	27	0.125592
23	30	0.14659
23	27	0.125592
